150	1065
0	128	1.0
0	97	1.0
0	130	1.0
0	115	1.0
0	39	1.0
0	108	1.0
0	76	1.0
0	47	1.0
0	51	1.0
0	25	1.0
0	122	1.0
0	123	1.0
0	60	1.0
0	93	1.0
1	64	1.0
1	96	1.0
1	97	1.0
1	134	1.0
1	71	1.0
1	136	1.0
1	135	1.0
1	108	1.0
1	47	1.0
1	80	1.0
1	94	1.0
1	86	1.0
1	122	1.0
1	30	1.0
2	147	1.0
2	101	1.0
2	39	1.0
2	11	1.0
2	44	1.0
2	77	1.0
2	109	1.0
2	51	1.0
2	148	1.0
2	86	1.0
2	56	1.0
2	121	1.0
2	27	1.0
2	143	1.0
2	94	1.0
3	36	1.0
3	102	1.0
3	38	1.0
3	17	1.0
3	9	1.0
3	77	1.0
3	110	1.0
3	49	1.0
3	146	1.0
3	51	1.0
3	52	1.0
3	55	1.0
3	28	1.0
3	61	1.0
4	96	1.0
4	48	1.0
4	66	1.0
4	145	1.0
4	80	1.0
4	9	1.0
4	76	1.0
4	46	1.0
4	16	1.0
4	49	1.0
4	146	1.0
4	19	1.0
4	54	1.0
4	23	1.0
4	91	1.0
4	127	1.0
5	130	1.0
5	71	1.0
5	136	1.0
5	137	1.0
5	10	1.0
5	110	1.0
5	79	1.0
5	48	1.0
5	147	1.0
5	56	1.0
6	98	1.0
6	35	1.0
6	60	1.0
6	138	1.0
6	139	1.0
6	14	1.0
6	111	1.0
6	90	1.0
6	92	1.0
6	126	1.0
7	65	1.0
7	139	1.0
7	132	1.0
7	69	1.0
7	102	1.0
7	129	1.0
7	75	1.0
7	44	1.0
7	46	1.0
7	143	1.0
7	51	1.0
7	26	1.0
7	91	1.0
7	124	1.0
7	94	1.0
8	96	1.0
8	33	1.0
8	130	1.0
8	67	1.0
8	68	1.0
8	97	1.0
8	72	1.0
8	41	1.0
8	106	1.0
8	13	1.0
8	110	1.0
8	50	1.0
8	128	1.0
8	82	1.0
8	88	1.0
8	58	1.0
9	97	1.0
9	36	1.0
9	102	1.0
9	137	1.0
9	77	1.0
9	142	1.0
9	123	1.0
9	147	1.0
9	90	1.0
9	91	1.0
9	93	1.0
10	131	1.0
10	137	1.0
10	42	1.0
10	119	1.0
10	79	1.0
10	81	1.0
10	114	1.0
10	19	1.0
10	148	1.0
10	54	1.0
10	55	1.0
10	89	1.0
10	28	1.0
10	37	1.0
11	96	1.0
11	115	1.0
11	38	1.0
11	40	1.0
11	141	1.0
11	78	1.0
11	136	1.0
11	83	1.0
11	116	1.0
11	53	1.0
11	54	1.0
11	88	1.0
11	148	1.0
11	94	1.0
11	63	1.0
12	32	1.0
12	65	1.0
12	134	1.0
12	109	1.0
12	15	1.0
12	88	1.0
12	83	1.0
12	20	1.0
12	54	1.0
12	55	1.0
12	56	1.0
12	111	1.0
12	60	1.0
12	126	1.0
12	127	1.0
13	66	1.0
13	36	1.0
13	103	1.0
13	50	1.0
13	49	1.0
13	18	1.0
13	20	1.0
13	119	1.0
13	25	1.0
13	124	1.0
13	31	1.0
14	34	1.0
14	66	1.0
14	116	1.0
14	119	1.0
14	127	1.0
14	60	1.0
14	93	1.0
14	95	1.0
15	65	1.0
15	123	1.0
15	70	1.0
15	136	1.0
15	108	1.0
15	146	1.0
15	49	1.0
15	114	1.0
15	121	1.0
